User,Text,Date,Favorites,Retweets,Mentions,HashTags
BarackObama,"FACT: Nearly 40% of U.S. gun sales are made by private, unlicensed sellers, whose buyers aren't required to pass a federal background check.",2013-02-08 21:00:40+00:00,1412,370,,
BarackObama,"RT if you're one of the 92% of Americans who support universal background checks for gun sales. #NowIsTheTime,",2013-02-08 21:24:48+00:00,8150,1013,,#NowIsTheTime
BarackObama,"Tell Congress: #NowIsTheTime to close background check loopholes for gun sales. http://OFA.BO/6teQPP,",2013-02-08 22:14:15+00:00,1083,445,,#NowIsTheTime
BarackObama,"""Let’s give our workers and our businesses the support they need to grow and thrive."" http://OFA.BO/th5H4b",2013-02-09 17:05:42+00:00,1669,388,,
BarackObama,"You're invited to a State of the Union watch party with supporters near you. RSVP now: http://OFA.BO/wHe84b,",2013-02-10 17:31:51+00:00,574,453,,
BarackObama,"""An AK-47, a machine gun, is not a sporting weapon or needed for the defense of the home."" —Former President Reagan,",2013-02-11 15:06:10+00:00,5362,1876,,
BarackObama,"We can fix our broken immigration system, but only if you make your voice heard. Share your family's #ImmigrationStory: http://OFA.BO/GmDMFz",2013-02-11 15:45:21+00:00,757,300,,#ImmigrationStory
BarackObama,"“Immigration reminds us all of our individual roots, but amplifies the greatness of who we are as Americans.” —Randall S. #ImmigrationStory",2013-02-11 16:22:14+00:00,975,428,,#ImmigrationStory
BarackObama,"""When I was 15, I yearned to get my permit to drive. I wanted to work to become more responsible—I couldn't.""—Saridh G. http://OFA.BO/twcuq5",2013-02-11 16:52:01+00:00,386,274,,
BarackObama,"“We are a nation founded by immigrants, and in this lies our strength.” —Gila S. http://OFA.BO/UcAsvj #ImmigrationStory",2013-02-11 17:14:35+00:00,1083,457,,#ImmigrationStory
BarackObama,"""All we required was the opportunity to succeed."" #ImmigrationStory: http://OFA.BO/NuLfmg,",2013-02-11 17:43:48+00:00,544,353,,#ImmigrationStory
BarackObama,"""They are the true Americans who not only know what this country could mean for them—but also their children."" —Jose C. http://OFA.BO/9XtxAv",2013-02-11 18:23:17+00:00,398,241,,
BarackObama,Don't let Congress off the hook: Use #ImmigrationStory to share how your family came here—and why we need immigration reform now.,2013-02-11 18:54:56+00:00,758,344,,#ImmigrationStory
BarackObama,President Obama's getting ready: RT if you're excited to hear his #SOTU speech tonight.,2013-02-12 15:06:26+00:00,3193,1037,,#SOTU
BarackObama,"Watch Obama's #SOTU address with enhanced graphics, charts, and useful stats on his plan to keep us moving forward: http://OFA.BO/eJ9Z7k",2013-02-12 16:53:12+00:00,409,200,,#SOTU
BarackObama,"""Our journey moves forward, and our future remains hopeful, and the state of our union will always be strong."" http://OFA.BO/jHZAWU #SOTU",2013-02-12 21:41:24+00:00,580,255,,#SOTU
BarackObama,Here's the best place to watch President Obama's #SOTU address tonight at 9pm ET: http://OFA.BO/WxnRim,2013-02-13 00:03:36+00:00,467,200,,#SOTU
BarackObama,"""He shall, from time to time...""",2013-02-13 01:09:12+00:00,694,580,,
BarackObama,"In 15 minutes, President Obama will deliver the 2013 State of the Union. Watch it live here: http://wh.gov/sotu #SOTU",2013-02-13 01:47:43+00:00,877,235,,#SOTU
